MODEL PATTERN,FOOT REST,SGC:FRT PUBX,SGC:FRT PUBX UP,SGC:REAR PUBX,B/PANEL,EURO-5,SIDE STEP
120541U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120542U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120543U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120544U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120545U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120546U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120547U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120548U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120549U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120550U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120551U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120552U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120553U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120554U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120555U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120556U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120580U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120581U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120582U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120583U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120584U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120585U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120586U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120587U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120588U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120589U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120590U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120591U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120592U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120593U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120594U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120595U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120596U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120597U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120598U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120599U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120600U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120601U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120602U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120603U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120604U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120605U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120606U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120607U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120608U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120609U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120610U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120611U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120612U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120613U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120614U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120615U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120616U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120617U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120618U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120619U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120620U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120621U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120622U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120623U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120624U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120625U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120626U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120627U0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120628U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120629U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120630U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120631U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120632U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120633U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120636U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120637U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120639U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120640U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120643U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120644U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120646U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120647U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120648U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120649U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120650U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120651U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120652U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120653U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120654U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120655U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120656U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120657U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120658U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120659U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120660U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120661U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120662U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120663U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120664U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120665U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120666U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120667U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120668U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120669U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120670U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120671U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120672U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120673U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120674U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120675U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120676U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120677U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120678U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120679U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120557U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120558U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120559U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120560U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120561U0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120562U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120563U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120564U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120565U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120566U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120567U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120570U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120571U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120573U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120574U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120577U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120578U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120442U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120443U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120444U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120445U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120446U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120431U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120432U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120439U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120440U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120441U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120686U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120685U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120684U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120687U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120401U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120261U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120262U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120263U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120264U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120265U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120266U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120267U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120434U0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120435U0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120436U0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120437U0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120438U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120468U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120469U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120470U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120471U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120472U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120473U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120474U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120475U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120476U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120477U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120478U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120479U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120480U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120481U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120482U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120483U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120484U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
