MODEL PATTERN,FOOT REST,SGC:FRT PUBX,SGC:FRT PUBX UP,SGC:REAR PUBX,B/PANEL,EURO-5,SIDE STEP
120EPAL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPBL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPCL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPDL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPEL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPFL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPGL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPHL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPJL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPKL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPLL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPML0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPNL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPPL0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
120EPQL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPRL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EPSL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERAL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERBL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERCL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERDL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120EREL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERFL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERGL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERHL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERJL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERKL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERLL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERML0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERNL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERPL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERQL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ERRL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ENAL0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120ENBL0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120ENCL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ENDL0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120ENEL0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
