HEADERRT50 FRAME        201011011108070017000000                                                                                                                          
810E00000010011L000556           000108981022521     201105101211244116022                                                                                                
810E00010010021L000557           000208981022521     201105101211244116022                                                                                                
810E00020010031L000558           000308981022521     201105101211244116022                                                                                                
810E00030010041L000559           000408981022521     201105101211244116022                                                                                                
810E00040010051L000560           000508981022521     201105101211244116022                                                                                                
810E00050020011L000561           000608981498810     201105101212244113012                                                                                                
810E00060020021L000562           000708981498810     201105101212244113012                                                                                                
810E00070020031L000563           000808981498810     201105101212244113012                                                                                                
810E00080020041L000564           000908981498810     201105101212244113012                                                                                                
810E00090020051L000565           001008981498810     201105101212244113012                                                                                                
810E00100030011L000566           001108981498810     201105101212244113012                                                                                                
810E00110030021L000567           001208981498810     201105101212244113012                                                                                                
810E00120030031L000568           001308981498810     201105101212244113012                                                                                                
810E00130030041L000569           001408981498810     201105101212244113012                                                                                                
810E00140030051L000570           001508981498810     201105101212244113012                                                                                                
810E00150040011L000571           001608981498810     201105101212244113012                                                                                                
810E00160040021L000572           001708981498810     201105101212244113012                                                                                                
810E00170040031L000573           001808981498810     201105101212244113012                                                                                                
810E00180040041L000574           001908981498810     201105101212244113012                                                                                                
810E00190040051L000575           002008981498810     201105101212244113012                                                                                                
810E00200050011L000576           002108981498810     201105101212244113012                                                                                                
810E00210050021L000577           002208981498810     201105101212244113012                                                                                                
810E00220050031L000578           002308981498810     201105101212244113012                                                                                                
810E00230050041L000579           002408981498810     201105101212244113012                                                                                                
810E00240050051L000580           002508981498810     201105101212244113012                                                                                                
810E00250030011L000581           002608981498810     201105101212244113012                                                                                                
810E00260030021L000582           002708981498810     201105101212244113012                                                                                                
810E00270030031L000583           002808981498810     201105101212244113012                                                                                                
810E00280030041L000584           002908981498810     201105101212244113012                                                                                                
810E00290030051L000585           003008981498810     201105101212244113012                                                                                                
810E00300060011L000586           003108981498860     201105101312267125012                                                                                                
810E00310060021L000587           003208981498860     201105101312267125012                                                                                                
810E00320060031L000588           003308981498860     201105101312267125012                                                                                                
810E00330060041L000589           003408981498860     201105101312267125012                                                                                                
810E00340060051L000590           003508981498860     201105101312267125012                                                                                                
810E00350020011L000591           003608981498860     201105101312267125012                                                                                                
810E00360020021L000592           003708981498860     201105101312267125012                                                                                                
810E00370020031L000593           003808981498860     201105101312267125012                                                                                                
810E00380020041L000594           003908981498860     201105101312267125012                                                                                                
810E00390020051L000595           004008981498860     201105101312267125012                                                                                                
810E00400030011L000596           004108981498860     201105101312267125012                                                                                                
810E00410030021L000597           004208981498860     201105101312267125012                                                                                                
810E00420030031L000598           004308981498860     201105101312267125012                                                                                                
810E00430030041L000599           004408981498860     201105101312267125012                                                                                                
810E00440030051L000600           004508981498860     201105101312267125012                                                                                                
810E00450040011L000601           004608981498860     201105101312267125012                                                                                                
810E00460040021L000602           004708981498860     201105101312267125012                                                                                                
810E00470040031L000603           004808981498860     201105101312267125012                                                                                                
810E00480040041L000604           004908981498860     201105101312267125012                                                                                                
810E00490040051L000605           005008981498860     201105101312267125012                                                                                                
810E00500050011L000606           005108981498860     201105101312267125012                                                                                                
810E00510050021L000607           005208981498860     201105101312267125012                                                                                                
810E00520050031L000608           005308981498860     201105101312267125012                                                                                                
810E00530050041L000609           005408981498860     201105101312267125012                                                                                                
810E00540050051L000610           005508981498860     201105101312267125012                                                                                                
810E00550060011L000611           005608981498860     201105101312267125012                                                                                                
810E00560060021L000612           005708981498860     201105101312267125012                                                                                                
810E00570060031L000613           005808981498860     201105101312267125012                                                                                                
810E00580060041L000614           005908981498860     201105101312267125012                                                                                                
810E00590060051L000615           006008981498860     201105101312267125012                                                                                                
810E00600070011L000616           006108981498860     201105101312267125012                                                                                                
810E00610070021L000617           006208981498860     201105101312267125012                                                                                                
810E00620070031L000618           006308981498860     201105101312267125012                                                                                                
810E00630070041L000619           006408981498860     201105101312267125012                                                                                                
810E00640070051L000620           006508981498860     201105101312267125012                                                                                                
810E00650080011L000621           006608981498860     201105101312267125012                                                                                                
810E00660080021L000622           006708981498860     201105101312267125012                                                                                                
810E00670080031L000623           006808981498860     201105101312267125012                                                                                                
810E00680080041L000624           006908981498860     201105101312267125012                                                                                                
810E00690080051L000625           007008981498860     201105101312267125012                                                                                                
810E00700090011L000626           007108981498860     201105101312267125012                                                                                                
810E00710090021L000627           007208981498860     201105101312267125012                                                                                                
810E00720090031L000628           007308981498860     201105101312267125012                                                                                                
810E00730090041L000629           007408981498860     201105101312267125012                                                                                                
810E00740090051L000630           007508981498860     201105101312267125012                                                                                                
810E00750100011L000631           007608981498860     201105101312267125012                                                                                                
810E00760100021L000632           007708981498860     201105101312267125012                                                                                                
810E00770100031L000633           007808981498860     201105101312267125012                                                                                                
810E00780100041L000634           007908981498860     201105101312267125012                                                                                                
810E00790100051L000635           008008981498860     201105101312267125012                                                                                                
810E00800110011L000636           008108981498860     201105101312267125012                                                                                                
810E00810110021L000637           008208981498860     201105101312267125012                                                                                                
810E00820110031L000638           008308981498860     201105101312267125012                                                                                                
810E00830110041L000639           008408981498860     201105101312267125012                                                                                                
810E00840110051L000640           008508981498860     201105101312267125012                                                                                                
